city,lat,lng,country,population
Tokyo,35.6897,139.6922,Japan,37732000
Jakarta,-6.175,106.8275,Indonesia,33756000
Delhi,28.61,77.23,India,32226000
Guangzhou,23.13,113.26,China,26940000
Mumbai,19.0761,72.8775,India,24973000
Manila,14.5958,120.9772,Philippines,24922000
Shanghai,31.2286,121.4747,China,24073000
São Paulo,-23.55,-46.6333,Brazil,23086000
Seoul,37.56,126.99,"Korea, South",23016000
Mexico City,19.4333,-99.1333,Mexico,21804000
Cairo,30.0444,31.2358,Egypt,20296000
New York,40.6943,-73.9249,United States,18908608
Dhaka,23.7639,90.3889,Bangladesh,18627000
Beijing,39.9067,116.3975,China,18522000
Kolkāta,22.5675,88.37,India,18502000
Bangkok,13.7525,100.4942,Thailand,18007000
Shenzhen,22.5415,114.0596,China,17619000
Moscow,55.7558,37.6172,Russia,17332000
Buenos Aires,-34.6033,-58.3817,Argentina,16710000
Lagos,6.455,3.3841,Nigeria,16637000
Istanbul,41.0136,28.955,Turkey,16079000
Karachi,24.86,67.01,Pakistan,15738000
Bangalore,12.9789,77.5917,India,15386000
Ho Chi Minh City,10.7756,106.7019,Vietnam,15136000
Ōsaka,34.6939,135.5022,Japan,15126000
Chengdu,30.66,104.0633,China,14645000
Tehran,35.6892,51.3889,Iran,14148000
Kinshasa,-4.3219,15.3119,Congo (Kinshasa),12836000
Rio de Janeiro,-22.9111,-43.2056,Brazil,12592000
Chennai,13.0825,80.275,India,12395000
Xi’an,34.2611,108.9422,China,12328000
Lahore,31.5497,74.3436,Pakistan,12306000
Chongqing,29.5637,106.5504,China,12135000
Los Angeles,34.1141,-118.4068,United States,11922389
Baoding,38.874,115.464,China,11544036
London,51.5072,-0.1275,United Kingdom,11262000
Paris,48.8567,2.3522,France,11060000
Linyi,35.1038,118.3564,China,11018365
Dongguan,23.021,113.752,China,10646000
Hyderābād,17.3617,78.4747,India,10494000
Tianjin,39.1336,117.2054,China,10368000
Lima,-12.06,-77.0375,Peru,10320000
Wuhan,30.5934,114.3046,China,10251000
Nanyang,32.9987,112.5292,China,9713112
Hangzhou,30.267,120.153,China,9523000
Foshan,23.0214,113.1216,China,9498863
Nagoya,35.1833,136.9,Japan,9197000
Tongshan,34.204,117.284,China,9083790
Luanda,-8.8383,13.2344,Angola,9051000
Zhoukou,33.625,114.6418,China,9026015
Ganzhou,25.831,114.933,China,8970014
Kuala Lumpur,3.1478,101.6953,Malaysia,8911000
Heze,35.2343,115.4796,China,8795939
Quanzhou,24.8744,118.6757,China,8782285
Johannesburg,-26.2044,28.0456,South Africa,8500000
Chicago,41.8375,-87.6866,United States,8497759
Nanjing,32.0608,118.7789,China,8422000
Jining,35.4151,116.5871,China,8357897
Hanoi,21,105.85,Vietnam,8246600
Pune,18.5203,73.8567,India,8231000
Fuyang,32.89,115.814,China,8200264
Ahmedabad,23.0225,72.5714,India,8009000
Bogotá,4.7111,-74.0722,Colombia,7968095
Shenyang,41.8025,123.4281,China,7964000
Dar es Salaam,-6.8161,39.2803,Tanzania,7962000
Khartoum,15.6,32.5,Sudan,7869000
Shangqiu,34.415,115.656,China,7816831
Hong Kong,22.3,114.2,Hong Kong,7450000
Cangzhou,38.3047,116.8387,China,7300783
Riyadh,24.6333,46.7167,Saudi Arabia,7237000
Santiago,-33.4372,-70.6506,Chile,7171000
Xingtai,37.0717,114.5048,China,7111106
Zhumadian,33.014,114.022,China,7008427
Chattogram,22.335,91.8325,Bangladesh,7000000
Surabaya,-7.2458,112.7378,Indonesia,6998000
Zhanjiang,21.2701,110.3575,China,6981236
Bijie,27.284,105.292,China,6899636
Yancheng,33.3482,120.1626,China,6709629
Hengyang,26.894,112.572,China,6645243
Zunyi,27.722,107.031,China,6606675
Shaoyang,27.2395,111.4679,China,6563520
Sūrat,21.1702,72.8311,India,6538000
Shangrao,28.4551,117.9431,China,6435300
Xinyang,32.149,114.091,China,6234401
Madrid,40.4169,-3.7033,Spain,6211000
Baghdad,33.3153,44.3661,Iraq,6183000
Maoming,21.6627,110.9255,China,6174050
Jieyang,23.551,116.3727,China,6089400
Miami,25.784,-80.2101,United States,6080145
Singapore,1.3,103.8,Singapore,5983000
Houston,29.786,-95.3885,United States,5970127
Liaocheng,36.4559,115.9852,China,5952128
Huanggang,30.4537,114.8724,China,5882719
Dalian,38.9,121.6,China,5871474
Dallas,32.7935,-96.7667,United States,5830932
Qingdao,36.0669,120.3827,China,5818255
Yulin,22.654,110.181,China,5796766
Douala,4.05,9.7,Cameroon,5768400
Qujing,25.491,103.796,China,5765775
Nangandao,35.3036,113.9268,China,5708191
Philadelphia,40.0077,-75.1339,United States,5683533
Pudong,31.2347,121.5064,China,5681512
Toronto,43.7417,-79.3733,Canada,5647656
Zhengzhou,34.764,113.684,China,5621593
Dezhou,37.436,116.359,China,5611194
Nanchong,30.8372,106.1106,China,5607565
Jinan,36.6702,117.0207,China,5606374
Giza,29.987,31.2118,Egypt,5598402
Nairobi,-1.2864,36.8172,Kenya,5545000
Guadalajara,20.6767,-103.3475,Mexico,5525000
Ankara,39.93,32.85,Turkey,5503985
Tai’an,36.202,117.087,China,5472217
Langfang,39.5383,116.6835,China,5464087
Dazhou,31.2093,107.4678,China,5385422
Saint Petersburg,59.9375,30.3086,Russia,5384342
Monterrey,25.6667,-100.3,Mexico,5341171
Belo Horizonte,-19.9167,-43.9333,Brazil,5328000
Suzhou,33.6333,116.9683,China,5324476
Yongzhou,26.42,111.613,China,5289824
Changde,29.031,111.699,China,5279102
Xiangyang,32.01,112.122,China,5260951
Rangoon,16.795,96.16,Burma,5209541
Atlanta,33.7628,-84.422,United States,5180179
Washington,38.9047,-77.0163,United States,5116378
Zhaotong,27.338,103.717,China,5092611
Zhangzhou,24.513,117.647,China,5054328
Melbourne,-37.8142,144.9631,Australia,5031195
Yichun,27.816,114.417,China,5007702
Bozhou,33.8626,115.7742,China,4996844
Suqian,33.9331,118.2831,China,4986192
Abidjan,5.3167,-4.0333,Côte d’Ivoire,4980000
Ji’an,27.0912,114.9668,China,4956600
Guilin,25.275,110.296,China,4931137
Pingdingshan,33.735,113.2999,China,4904701
Berlin,52.52,13.405,Germany,4890363
Alexandria,31.1975,29.8925,Egypt,4870000
Mianyang,31.468,104.679,China,4868243
Sydney,-33.8678,151.21,Australia,4840600
Huanglongsi,34.795,114.345,China,4824016
Barcelona,41.3828,2.1769,Spain,4800000
Yuncheng,35.0267,111.007,China,4774508
Cape Town,-33.9253,18.4239,South Africa,4770313
Changsha,28.228,112.939,China,4766296
Jeddah,21.5433,39.1728,Saudi Arabia,4697000
Weinan,34.5206,109.471,China,4688744
Chenzhou,25.77,113.016,China,4667134
Jiangmen,22.5789,113.0815,China,4630300
Jiujiang,29.661,115.954,China,4600276
Xinpu,34.5966,119.2214,China,4599360
Yibin,28.752,104.643,China,4588804
Huaihua,27.5698,110.0016,China,4587594
Yangzhou,32.3912,119.4363,China,4559797
Taizhou,32.4567,119.9229,China,4512762
Kunming,25.0464,102.7094,China,4422686
Yiyang,28.5549,112.356,China,4413800
Changchun,43.897,125.326,China,4408154
Lu’an,31.736,116.52,China,4393699
Jiangguanchi,34.0244,113.8201,China,4379998
Meizhou,24.289,116.122,China,4378800
Ürümqi,43.8225,87.6125,China,4335017
Suzhou,31.3,120.6194,China,4330000
Boston,42.3188,-71.0852,United States,4328315
İzmir,38.42,27.14,Turkey,4320519
Guigang,23.112,109.599,China,4316262
Shantou,23.354,116.682,China,4312192
Kabul,34.5253,69.1783,Afghanistan,4273156
Xiaoganzhan,30.918,113.957,China,4270371
Bamako,12.6392,-8.0028,Mali,4227569
Luzhou,28.871,105.442,China,4218427
Hefei,31.8206,117.2273,China,4216940
Hengshui,37.739,115.669,China,4212933
Fortaleza,-3.7275,-38.5275,Brazil,4167996
Anqing,30.5318,117.1153,China,4165284
Liuzhou,24.3264,109.4281,China,4157934
Zhangjiakou,40.769,114.886,China,4118908
Zhaoqing,23.05,112.4667,China,4113594
Shijiazhuang,38.0425,114.51,China,4098243
Ningbo,29.8603,121.6245,China,4087523
Qiqihar,47.3549,123.9182,China,4067489
Phoenix,33.5722,-112.0892,United States,4064275
Fuzhou,27.949,116.358,China,4047200
Chifeng,42.257,118.888,China,4035967
Xiaoxita,30.692,111.287,China,4017607
Amman,31.9497,35.9328,Jordan,4007526
Chuzhou,32.256,118.333,China,3987054
Linfen,36.088,111.519,China,3976481
Qingyuan,23.682,113.056,China,3969473
Xianyang,34.3299,108.7088,China,3959842
Loudi,27.6998,111.9944,China,3931800
Binzhou,37.383,117.971,China,3928568
Zhuzhou,27.829,113.133,China,3902738
Taiyuan,37.8704,112.5497,China,3875053
Nanning,22.8167,108.3275,China,3837978
Harbin,45.7576,126.6409,China,3830000
Abuja,9.0667,7.4833,Nigeria,3770000
Yokohama,35.4442,139.6381,Japan,3757630
Suihua,46.654,126.969,China,3756167
Zaozhuang,34.8109,117.3238,China,3729140
Detroit,42.3834,-83.1024,United States,3725908
Xiamen,24.4796,118.0889,China,3707090
Neijiang,29.5802,105.058,China,3702847
Montréal,45.5089,-73.5617,Canada,3675219
Fuzhou,26.0743,119.2964,China,3671192
Baicheng,23.903,106.619,China,3669400
Wuhu,31.3526,118.4331,China,3644420
Yulinshi,38.2858,109.7341,China,3634750
Medan,3.5894,98.6739,Indonesia,3632000
Wenzhou,27.9938,120.6993,China,3604446
Changzhou,31.811,119.974,China,3601079
Puyang,35.7627,115.0292,China,3598740
Jiaozuo,35.2157,113.2419,China,3590700
Nanchang,28.683,115.858,China,3576547
Seattle,47.6211,-122.3244,United States,3561397
Ibadan,7.3964,3.9167,Nigeria,3552000
Casablanca,33.5333,-7.5833,Morocco,3499000
Kumasi,6.7,-1.625,Ghana,3490030
Deyang,31.127,104.398,China,3456161
Busan,35.18,129.075,"Korea, South",3453198
Hohhot,40.842,111.749,China,3446100
Hechi,24.693,108.085,China,3417945
Algiers,36.7539,3.0589,Algeria,3415811
Tangshan,39.6294,118.1739,China,3399231
Shiyan,32.629,110.7987,China,3398000
Lucknow,26.85,80.95,India,3382000
Mashhad,36.3264,59.5433,Iran,3372090
San Francisco,37.7558,-122.4449,United States,3364979
Boankra,6.6944,-1.4028,Ghana,3348000
Dubai,25.2631,55.2972,United Arab Emirates,3331420
Anshan,41.108,122.994,China,3325372
Baojishi,34.363,107.238,China,3321853
Qinzhou,21.981,108.654,China,3304400
Guiyang,26.647,106.63,China,3299724
Bengbu,32.917,117.389,China,3296408
Bazhou,31.868,106.748,China,3283148
Suining,30.533,105.593,China,3252619
Wuxi,31.491,120.312,China,3245179
Kotla Qasim Khan,32.5833,73.75,Pakistan,3219375
Hanzhong,33.0664,107.0232,China,3211462
Putian,25.4526,119.0078,China,3210714
Zhenjiang,32.188,119.424,China,3210418
Guang’an,30.4564,106.6326,China,3205476
Faisalabad,31.4167,73.0911,Pakistan,3203846
Changzhi,36.195,113.117,China,3180884
Tongren,27.7316,109.1895,China,3168800
Leshan,29.552,103.766,China,3160168
Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,3151676
Qinhuangdao,39.8882,119.5202,China,3146300
Jaipur,26.9,75.8,India,3073350
Xinzhou,38.416,112.734,China,3067501
Lanzhou,36.0606,103.8268,China,3067141
Wuzhou,23.4767,111.279,China,3061100
Athens,37.9842,23.7281,Greece,3059764
San Diego,32.8313,-117.1222,United States,3046560
Addis Ababa,9.03,38.74,Ethiopia,3041002
Taichung,24.1439,120.6794,Taiwan,3033885
Huainan,32.6314,117.0194,China,3033528
Guatemala City,14.6133,-90.5353,Guatemala,3014000
Kuwait City,29.3697,47.9783,Kuwait,3000000
Budapest,47.4925,19.0514,Hungary,2997958
Qincheng,34.5809,105.7311,China,2984659
Rizhao,35.417,119.527,China,2968365
Quezon City,14.65,121.0475,Philippines,2960048
Sanaa,15.3483,44.2064,Yemen,2957000
Tashkent,41.3111,69.2797,Uzbekistan,2956384
Kyiv,50.45,30.5233,Ukraine,2952301
Meishan,30.0771,103.8484,China,2950545
Incheon,37.4833,126.6333,"Korea, South",2936117
Birmingham,52.48,-1.9025,United Kingdom,2919600
Ningde,26.6662,119.5477,China,2910000
Zhongshan,22.517,113.3925,China,2909633
Weihai,37.5133,122.1205,China,2906548
Bursa,40.1833,29.05,Turkey,2901396
Minneapolis,44.9635,-93.2678,United States,2892569
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),2892000
Haikou,20.0186,110.3488,China,2873358
Tongliao,43.654,122.243,China,2873168
Chaoyang,41.571,120.453,China,2872857
La Paz,-16.4958,-68.1333,Bolivia,2867504
Pyongyang,39.0167,125.7475,"Korea, North",2863000
Tampa,27.9945,-82.4447,United States,2861173
Shaoguan,24.811,113.597,China,2855131
Heyuan,23.7443,114.7002,China,2837686
Brasília,-15.7939,-47.8828,Brazil,2817068
Omdurman,15.65,32.4833,Sudan,2805396
Malang,-7.98,112.62,Indonesia,2795209
Stuttgart,48.7775,9.18,Germany,2787724
Daqing,46.589,125.104,China,2781562
Rome,41.8933,12.4828,Italy,2748109
Brooklyn,40.6501,-73.9496,United States,2736074
Kaohsiung,22.615,120.2975,Taiwan,2733964
Xiangtan,27.8313,112.9454,China,2726181
Longyan,25.076,117.017,China,2723637
Baotou,40.6213,109.9532,China,2709378
Handan,36.601,114.487,China,2708015
Jinzhou,41.129,121.148,China,2703853
Kanpur,26.4499,80.3319,India,2701324
Denver,39.762,-104.8758,United States,2687458
Nanping,26.6418,118.1774,China,2680645
Gāzipura,23.9889,90.375,Bangladesh,2674697
Shanwei,22.7872,115.3756,China,2672819
Chaozhou,23.658,116.622,China,2656600
Guayaquil,-2.19,-79.8875,Ecuador,2650288
Weifang,36.708,119.162,China,2636154
Huai’an,33.551,119.113,China,2632788
Zibo,36.8138,118.055,China,2631647
Ankang,32.6854,109.029,China,2629906
Mogadishu,2.0392,45.3419,Somalia,2610483
Munich,48.1375,11.575,Germany,2606021
Gulou,26.0865,119.298,China,2606000
Taipei,25.0375,121.5625,Taiwan,2603150
Bekasi,-6.2349,106.9923,Indonesia,2590257
Damascus,33.5131,36.2919,Syria,2584771
Sanming,26.2634,117.6389,China,2580000
Yangjiang,21.857,111.983,China,2555600
Jiamusi,46.8,130.319,China,2552097
Luohe,33.583,114.0109,China,2544266
Medellín,6.2308,-75.5906,Colombia,2529403
Dingxi,35.608,104.592,China,2524097
Shaoxing,30.0511,120.5833,China,2521964
Yantai,37.4646,121.4478,China,2511053
Huizhou,23.112,114.416,China,2509243
Lishui,28.468,119.923,China,2507396
Xuanzhou,30.939,118.759,China,2500063
Khowrhesht,36.205,49.6872,Iran,2500000
Mirzāpur,25.146,82.569,India,2496970
Zigong,29.339,104.779,China,2489256
Hamburg,53.55,10,Germany,2484800
Guangyuan,32.436,105.844,China,2484122
Cali,3.4206,-76.5222,Colombia,2471474
Huangshi,30.2011,115.039,China,2469079
Xining,36.6224,101.7804,China,2467965
Lusaka,-15.4167,28.2833,Zambia,2467563
Ouagadougou,12.3686,-1.5275,Burkina Faso,2453496
Yaoundé,3.8667,11.5167,Cameroon,2440462
Zhuhai,22.2716,113.5769,China,2439585
Huludao,40.711,120.837,China,2434194
Baoshan,25.112,99.161,China,2431211
Mecca,21.4225,39.8233,Saudi Arabia,2427924
Vancouver,49.25,-123.1,Canada,2426160
Lianshan,40.7523,120.828,China,2426000
Beirut,33.8983,35.5057,Lebanon,2421354
Salvador,-12.9747,-38.4767,Brazil,2418005
Bucharest,44.4325,26.1039,Romania,2412530
Longba,33.3702,104.9603,China,2407272
Nāgpur,21.1497,79.0806,India,2405665
Queens,40.7498,-73.7976,United States,2405464
Jilin,43.8519,126.5481,China,2396000
Tieling,42.2237,123.726,China,2388294
Accra,5.55,-0.2,Ghana,2388000
Yunfu,22.9152,112.0445,China,2383350
Bekasi Kota,-6.2333,107,Indonesia,2381053
Daegu,35.8717,128.6017,"Korea, South",2376044
Ghāziābād,28.67,77.42,India,2375820
Luoyang,34.6197,112.4539,China,2372571
Brisbane,-27.4678,153.0281,Australia,2360241
Anshun,26.2531,105.9476,China,2353100
Riverside,33.9381,-117.3949,United States,2332836
Yingkou,40.625,122.219,China,2328582
Colombo,6.9344,79.8428,Sri Lanka,2323826
Yanjiang,30.129,104.627,China,2308631
Baku,40.3953,49.8822,Azerbaijan,2300500
Antananarivo,-18.91,47.525,Madagascar,2300000
Mudanjiang,44.5514,129.6329,China,2290208
Fukuoka,33.59,130.4017,Japan,2286000
Yan’an,36.65,109.494,China,2282581
Jincheng,35.491,112.852,China,2279146
Nantong,31.981,120.894,China,2261382
Lincang,23.884,100.089,China,2257991
Yuxi,24.347,102.527,China,2249502
Las Vegas,36.2333,-115.2654,United States,2248047
Caracas,10.4806,-66.9036,Venezuela,2245744
Tangerang,-6.1703,106.6403,Indonesia,2237006
Laibin,23.7501,109.2212,China,2233900
Konya,37.8667,32.4833,Turkey,2232374
Supaul,26.126,86.605,India,2229076
Vienna,48.2083,16.3725,Austria,2223236
Eşfahān,32.6447,51.6675,Iran,2219343
Baltimore,39.3051,-76.6144,United States,2196524
Shengli,37.434,118.6746,China,2193518
Dandong,40.1167,124.3833,China,2188436
Qinbaling,35.7278,107.64,China,2179716
Gaoping,30.7824,106.1281,China,2174000
Awka,6.2069,7.0678,Nigeria,2171900
Taizhou,28.6557,121.4208,China,2162461
Ma’anshan,31.669,118.507,China,2159930
Harare,-17.8292,31.0522,Zimbabwe,2150000
Perth,-31.9559,115.8606,Australia,2141834
St. Louis,38.6359,-90.2451,United States,2130881
Phnom Penh,11.5694,104.9211,Cambodia,2129371
Depok,-6.394,106.8225,Indonesia,2123349
Stockholm,59.3294,18.0686,Sweden,2121000
Puning,23.298,116.166,China,2118200
Huaibei,33.956,116.798,China,2114276
Kowloon,22.3167,114.1833,Hong Kong,2108419
Córdoba,-31.4167,-64.1833,Argentina,2106734
Haiphong,20.8651,106.6838,Vietnam,2103500
Zamboanga City,6.9042,122.0761,Philippines,2100000
Chongzuo,22.377,107.365,China,2099400
Rawalpindi,33.6,73.0333,Pakistan,2098231
Portland,45.5371,-122.65,United States,2095808
Kano,12,8.5167,Nigeria,2095000
Yushan,31.322,120.985,China,2092496
Havana,23.1367,-82.3589,Cuba,2089532
Hezhou,24.4042,111.5672,China,2072600
Pingliang,35.5424,106.6649,China,2068033
Vadodara,22.3,73.2,India,2065771
Manaus,-3.1189,-60.0217,Brazil,2063547
